TREATMENTLINK,,,,/TREATMENTLINK
BOOK.NAME,TREATMENT.NAME,ACCOUNTING_INSTRUCTION.NAME,ID,
Treasury_DL,Bond FVOCI,Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY (NI),Treasury_DL|Bond FVOCI|Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY (NI),
Treasury_DL,Bond FVOCI,Bond_TD_Daily Premium/Discount Amortization_FCY_ACCY,Treasury_DL|Bond FVOCI|Bond_TD_Daily Premium/Discount Amortization_FCY_ACCY,
Treasury_DL,Bond FVOCI,Bond_TD_Daily Premium/Discount Amortization_FCY (NI),Treasury_DL|Bond FVOCI|Bond_TD_Daily Premium/Discount Amortization_FCY (NI),
Treasury_DL,Bond FVOCI,Bond_TD_Trade Date Sell RPL_FCY (NI),Treasury_DL|Bond FVOCI|Bond_TD_Trade Date Sell RPL_FCY (NI),
Treasury_DL,Bond FVOCI,Bond_TD_Trade Date Sell RPL_FCY_ACCY,Treasury_DL|Bond FVOCI|Bond_TD_Trade Date Sell RPL_FCY_ACCY,
Treasury_DL,Bond FVOCI,PSAK_MF_Pay Date Attributable Fee,Treasury_DL|Bond FVOCI|PSAK_MF_Pay Date Attributable Fee,
Treasury_DL,Bond FVTPL,Bond_MF_Daily Interest Accrual PL,Treasury_DL|Bond FVTPL|Bond_MF_Daily Interest Accrual PL,
Treasury_DL,Bond FVTPL,Bond_TD_Premium/Discount FVTPL Maturity Date,Treasury_DL|Bond FVTPL|Bond_TD_Premium/Discount FVTPL Maturity Date,
Treasury_DL,Placement,DepoLoan_MF_Trade Date Principal,Treasury_DL|Placement|DepoLoan_MF_Trade Date Principal,
Treasury_DL,Bond Amortised Cost,Bond OCI/AC_TD_Trade Date Buy,Treasury_DL|Bond Amortised Cost|Bond OCI/AC_TD_Trade Date Buy,
Treasury_DL,Bond Amortised Cost,PSAK_MF_Pay Date Attributable Fee,Treasury_DL|Bond Amortised Cost|PSAK_MF_Pay Date Attributable Fee,
Treasury_DL,Bond Amortised Cost,PSAK_MF_Pay Date Non-Attributable Fee (As Fee),Treasury_DL|Bond Amortised Cost|PSAK_MF_Pay Date Non-Attributable Fee (As Fee),
Treasury_DL,Bond Amortised Cost,PSAK_MF_Pay Date Non-Attributable Fee (Linear),Treasury_DL|Bond Amortised Cost|PSAK_MF_Pay Date Non-Attributable Fee (Linear),
Treasury_DL,Bond Amortised Cost,PSAK_MF_Pay Date WIthholding Tax,Treasury_DL|Bond Amortised Cost|PSAK_MF_Pay Date WIthholding Tax,
Treasury_DL,Bond Amortised Cost,Bond_MF_Value Date Settlement,Treasury_DL|Bond Amortised Cost|Bond_MF_Value Date Settlement,
Treasury_DL,Bond Amortised Cost,Bond_TD_Daily Interest Accrual_FCY_ACCY,Treasury_DL|Bond Amortised Cost|Bond_TD_Daily Interest Accrual_FCY_ACCY,
