TACCOUNTALLOCLINK,,,,,,/TACCOUNTALLOCLINK
COA.ID,CHART_OF_ACCOUNT.T_ACCOUNT.NUMBER,JVD.ID,CHART_OF_ACCOUNT.BOOK.NAME,ID,TREATMENT.NAME,
Treasury|19511633,19511633,PSAK_MF_Pay Date Non-Attributable Fee (As Fee)|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|PSAK_MF_Pay Date Non-Attributable Fee (As Fee)|Cash Analysis Projected|Debit|Bond FVTPL,Bond FVTPL,
Treasury|19511633,19511633,Bond_MF_Pay Date Settlement Principal|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|Bond_MF_Pay Date Settlement Principal|Cash Analysis Projected|Debit|Bond FVTPL,Bond FVTPL,
Treasury|19511633,19511633,Bond_MF_Pay Date Interest|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|Bond_MF_Pay Date Interest|Cash Analysis Projected|Debit|Bond FVTPL,Bond FVTPL,
Treasury|19511633,19511633,Bond_MF_Value Date Settlement|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|Bond_MF_Value Date Settlement|Cash Analysis Projected|Debit|Bond Amortised Cost,Bond Amortised Cost,
Treasury|19511633,19511633,PSAK_MF_Pay Date Attributable Fee|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|PSAK_MF_Pay Date Attributable Fee|Cash Analysis Projected|Debit|Bond FVOCI,Bond FVOCI,
Treasury|19511633,19511633,PSAK_MF_Pay Date WIthholding Tax|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|PSAK_MF_Pay Date WIthholding Tax|Cash Analysis Projected|Debit|Bond FVOCI,Bond FVOCI,
Treasury|19511633,19511633,PSAK_MF_Pay Date Non-Attributable Fee (Linear)|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|PSAK_MF_Pay Date Non-Attributable Fee (Linear)|Cash Analysis Projected|Debit|Bond FVOCI,Bond FVOCI,
Treasury|19511633,19511633,PSAK_MF_Pay Date Non-Attributable Fee (As Fee)|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|PSAK_MF_Pay Date Non-Attributable Fee (As Fee)|Cash Analysis Projected|Debit|Bond FVOCI,Bond FVOCI,
Treasury|19511633,19511633,PSAK_MF_Pay Date WIthholding Tax|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|PSAK_MF_Pay Date WIthholding Tax|Cash Analysis Projected|Debit|Bond Amortised Cost,Bond Amortised Cost,
Treasury|19511633,19511633,Bond_MF_Pay Date Interest|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|Bond_MF_Pay Date Interest|Cash Analysis Projected|Debit|Bond Amortised Cost,Bond Amortised Cost,
Treasury|19511633,19511633,Bond_MF_Pay Date Settlement Principal|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|Bond_MF_Pay Date Settlement Principal|Cash Analysis Projected|Debit|Bond Amortised Cost,Bond Amortised Cost,
Treasury|19511633,19511633,PSAK_MF_Pay Date Non-Attributable Fee (As Fee)|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|PSAK_MF_Pay Date Non-Attributable Fee (As Fee)|Cash Analysis Projected|Debit|Bond Amortised Cost,Bond Amortised Cost,
Treasury|19511633,19511633,PSAK_MF_Pay Date Non-Attributable Fee (Linear)|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|PSAK_MF_Pay Date Non-Attributable Fee (Linear)|Cash Analysis Projected|Debit|Bond Amortised Cost,Bond Amortised Cost,
Treasury|19511633,19511633,PSAK_MF_Pay Date Attributable Fee|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|PSAK_MF_Pay Date Attributable Fee|Cash Analysis Projected|Debit|Bond Amortised Cost,Bond Amortised Cost,
Treasury|19511633,19511633,FRA_MF_Pay Date Gain/Loss|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|FRA_MF_Pay Date Gain/Loss|Cash Analysis Projected|Debit|FRA,FRA,
Treasury|19511633,19511633,Bond_MF_Pay Date Settlement Principal|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|Bond_MF_Pay Date Settlement Principal|Cash Analysis Projected|Debit|Bond Issuance,Bond Issuance,
Treasury|19511633,19511633,Bond_MF_Pay Date Interest|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|Bond_MF_Pay Date Interest|Cash Analysis Projected|Debit|Bond Issuance,Bond Issuance,
Treasury|19511633,19511633,Bond_MF_Value Date Settlement|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|Bond_MF_Value Date Settlement|Cash Analysis Projected|Debit|Bond Issuance,Bond Issuance,
Treasury|19511633,19511633,CCS/IRS_MF_Pay Date Termination Fee|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|CCS/IRS_MF_Pay Date Termination Fee|Cash Analysis Projected|Debit|CCS IRS,CCS IRS,
Treasury|19511633,19511633,CCS/IRS_MF_Closing Date Accrued Interest|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|CCS/IRS_MF_Closing Date Accrued Interest|Cash Analysis Projected|Debit|CCS IRS,CCS IRS,
Treasury|19511633,19511633,CCS/IRS_MF_Pay Date Nominal Exchange|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|CCS/IRS_MF_Pay Date Nominal Exchange|Cash Analysis Projected|Debit|CCS IRS,CCS IRS,
Treasury|19511633,19511633,CCS/IRS_MF_Pay Date Interest_Rec|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|CCS/IRS_MF_Pay Date Interest_Rec|Cash Analysis Projected|Debit|CCS IRS,CCS IRS,
Treasury|19511633,19511633,CCS/IRS_MF_Pay Date Interest_Pay|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|CCS/IRS_MF_Pay Date Interest_Pay|Cash Analysis Projected|Debit|CCS IRS,CCS IRS,
Treasury|19511633,19511633,FX Option_MF_Premium Value Date|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|FX Option_MF_Premium Value Date|Cash Analysis Projected|Debit|FXO,FXO,
Treasury|19511633,19511633,Fund_MF_Pay Date Aggregated Dividends|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|Fund_MF_Pay Date Aggregated Dividends|Cash Analysis Projected|Debit|Bond FVTPL,Bond FVTPL,
