CHOICELIST,,,,/CHOICELIST
LIST,SORT_ORDER,ENTRY,DESCRIPTION,
MASTER,,Location,Customer Address Location in eMAS,
Location,351,Provinsi Kalimantan Barat,5300,
Location,352,"Kab. Pontianak, Kalimatan Barat",5301,
Location,353,"Kab. Sambas, Kalimatan Barat",5302,
Location,354,"Kab. Ketapang, Kalimatan Barat",5303,
Location,355,"Kab. Sanggau, Kalimatan Barat",5304,
Location,356,"Kab. Sintang, Kalimatan Barat",5305,
Location,357,"Kab. Kapuas Hulu, Kalimatan Barat",5306,
Location,358,"Kab. Bengkayang, Kalimatan Barat",5307,
Location,359,"Kab. Landak, Kalimatan Barat",5308,
Location,360,Kab. Sekadau,5309,
Location,361,Kab. Melawi,5310,
Location,362,Kabupaten Kayong Utara,5311,
Location,363,Kabupaten Kubu Raya,5312,
Location,365,"Prov.Kalbar,Kab/Kota Lainnya",5388,
Location,366,"Kod. Pontianak, Kalimatan Barat",5391,
Location,367,"Kotif Singkawang, Kalimatan Barat",5392,
Location,369,Kab. MEMPAWAH,5394,
Location,370,Provinsi Kalimantan Timur,5400,
Location,371,"Kab. Kutai, Kalimantan Timur",5401,
Location,372,"Kab. Berau, Kalimantan Timur",5402,
Location,373,"Kab. Tanah Pasir, Kalimantan Timur",5403,
Location,374,"Kab. Bulungan, Kalimantan Timur",5404,
Location,375,"Kab. Kutai Barat, Kalimantan Timur",5405,
Location,376,"Kab. Kutai Timur, Kalimantan Timur",5406,
Location,377,Kab.Bulungan Selatan,5407,
Location,378,Kab.Bulungan Utara,5408,
Location,379,Kab.Nunukan,5409,
Location,380,Kab.Malinau,5410,
Location,381,Kab.Penajem Paser Utara,5411,
Location,382,Kabupaten Tana Tidung,5412,
Location,383,Kab. MAHAKAM ULU,5413,
Location,384,Kab. PASER,5414,
Location,385,"Prov.Kaltim,Kab/Kota Lainnya",5488,
Location,386,"Kod. Samarinda, Kalimantan Timur",5491,
Location,387,"Kod. Balikpapan, Kalimantan Timur",5492,
Location,388,"Kotif Tarakan, Kalimantan Timur",5493,
Location,389,"Kotif Bontang, Kalimantan Timur",5494,
Location,390,Provinsi Kalimantan Tengah,5800,
Location,391,"Kab. Kapuas, Kalimantan Tengah",5801,
Location,392,Kab.Kotawaringin Barat,5802,
Location,393,Kab.Kotawaringin Timur,5803,
Location,394,Kab.Murung Raya,5804,
Location,395,Kab.Barito Timur,5805,
Location,396,"Kab. Barito Selatan, Kal-Teng",5806,
Location,397,Kab.Gunung Mas,5807,
Location,398,"Kab. Barito Utara, Kal-Teng",5808,
Location,399,Kab.Pulang Pisau,5809,
Location,400,Kab.Seruyan,5810,
Location,401,Kab.Katingan,5811,
Location,402,Kab.Sukamara,5812,
Location,403,Kab.Lamandau,5813,
Location,404,"Prov.Kalteng,Kab/Kota Lainnya",5888,
Location,405,"Kod. Palangkaraya, Kal-Teng",5892,
Location,406,Kab. HULU SUNGAI SELATAN,5893,
Location,407,Kab. TANAH BUMBU,5894,
Location,408,Kab. TABALONG,5895,
Location,409,Provinsi Sulawesi Tengah,6000,
Location,410,"Kab. Donggala, Sulawesi Tengah",6001,
Location,411,"Kab. Poso, Sulawesi Tengah",6002,
Location,412,"Kab. Banggai, Sulawesi Tengah",6003,
Location,413,"Kab. Toli-toli, Sulawesi Tengah",6004,
Location,414,"Kab.Banggai Kepulauan, Sulawesi Tengah",6005,
Location,415,"Kab. Morowali, Sulawesi Tengah",6006,
Location,416,"Kab. Buol, Sulawesi Tengah",6007,
Location,417,Kab. Tojo Una-Una,6008,
Location,418,Kabupaten Parigi Moutong,6009,
Location,419,"Kab. Sigi, Sulawesi Tengah",6010,
Location,420,Kab. BANGGAI KEPULAUAN,6011,
Location,422,Kab. BANGGAI LAUT,6013,
Location,423,XXXProv.Sulawesi Tengah,6088,
Location,424,"Kotif Palu, Sulawesi Tengah",6091,
Location,425,Kab. MOROWALI UTARA,6092,
Location,426,Kab. SIGI,6093,
Location,427,Kab. TOLI TOLI,6094,
Location,428,Provinsi Sulawesi Selatan,6100,
Location,429,"Kab. Pinrang, Sulawesi Selatan",6101,
Location,430,"Kab. Gowa, Sulawesi Selatan",6102,
Location,431,"Kab. Wajo, Sulawesi Selatan",6103,
Location,432,"Kab. Mamuju, Sulawesi Selatan",6104,
Location,433,"Kab. Bone, Sulawesi Selatan",6105,
Location,434,"Kab. Tana Toraja, Sulawesi Selatan",6106,
Location,435,"Kab. Maros, Sulawesi Selatan",6107,
Location,436,"Kab. Majene, Sulawesi Selatan",6108,
Location,437,"Kab. Luwu, Sulawesi Selatan",6109,
Location,438,"Kab. Sinjai, Sulawesi Selatan",6110,
Location,439,"Kab. Bulukumba, Sulawesi Selatan",6111,
Location,440,"Kab. Bantaeng, Sulawesi Selatan",6112,
Location,441,"Kab. Jeneponto, Sulawesi Selatan",6113,
Location,442,"Kab. Selayar, Sulawesi Selatan",6114,
Location,443,"Kab. Takalar, Sulawesi Selatan",6115,
Location,444,"Kab. Barru, Sulawesi Selatan",6116,
Location,445,"Kab. Sindenreng Rappan, Sulawesi Sel",6117,
Location,446,"Kab. Pangkajene Kepula, Sulawesi Sel",6118,
Location,447,"Kab. Soppeng, Sulawesi Selatan",6119,
Location,448,"Kab. Polewali Mamasa, Sulawesi Selatan",6120,
Location,449,"Kab. Enrekang, Sulawesi Selatan",6121,
Location,450,"Kab. Luwu Selatan, Sulawesi Selatan",6122,
Location,451,Kab.Mamasa,6123,
Location,452,Kab.Luwu Utara,6124,
Location,453,Kab. LUWU TIMUR,6125,
Location,454,Kab. KEPULAUAN SELAYAR,6126,
Location,455,XXXProv.Sulawesi Selatan,6188,
Location,456,"Kod. Makassar, Sulawesi Selatan",6191,
Location,457,"Kod. Pare-pare, Sulawesi Selatan",6192,
Location,458,"Kotif Palopo, Sulawesi Selatan",6193,
Location,459,"Kotif Watampone, Sulawesi Selatan",6194,
Location,460,Provinsi Sulawesi Utara,6200,
Location,461,"Kab. Minahasa, Sulawesi Utara",6202,
Location,462,"Kab. Bolaang Mongondow, Sul-Ut",6203,
Location,463,"Kab. Sangihe Talaud, Sulawesi Utara",6204,
Location,464,Kab.Kepulauan Talaud,6205,
Location,465,Kab.Minahasa Selatan,6206,
Location,466,Kab. Minahasa Utara,6207,
Location,467,Kabupaten Minahasa Tenggara,6209,
Location,468,Kabupaten Bolaang Mongondow Utara,6210,
Location,469,Kabupaten Kepulauan Sitaro,6211,
Location,470,Kab. Bolaang Mongondow Selatan,6212,
Location,471,Kab. Bolaang Mongondow Timur,6213,
Location,472,"Sulawesi Utara,Kab/Kota Lainnya",6288,
Location,473,"Kod. Manado, Sulawesi Utara",6291,
Location,474,Kota Kotamobagu,6292,
