TACCOUNTALLOCLINK,,,,,,/TACCOUNTALLOCLINK
COA.ID,CHART_OF_ACCOUNT.T_ACCOUNT.NUMBER,JVD.ID,CHART_OF_ACCOUNT.BOOK.NAME,ID,TREATMENT.NAME,
Treasury_CI|61512201,61512201,FX_MF_Trade Date OffBalance Principal|Cash Analysis Projected|Debit,Treasury_CI,Treasury_CI|61512201|FX_MF_Trade Date OffBalance Principal|Cash Analysis Projected|Debit|FX Forward,FX Forward,
Treasury_CI|71512201,71512201,FX_MF_Trade Date OffBalance Principal|Cash Analysis Projected|Debit,Treasury_CI,Treasury_CI|71512201|FX_MF_Trade Date OffBalance Principal|Cash Analysis Projected|Debit|FX Forward,FX Forward,
Treasury_CI|81512201,81512201,FX_MF_Trade Date OffBalance Principal|Cash Analysis Projected|Credit,Treasury_CI,Treasury_CI|81512201|FX_MF_Trade Date OffBalance Principal|Cash Analysis Projected|Credit|FX Forward,FX Forward,
Treasury_CI|91512201,91512201,FX_MF_Trade Date OffBalance Principal|Cash Analysis Projected|Credit,Treasury_CI,Treasury_CI|91512201|FX_MF_Trade Date OffBalance Principal|Cash Analysis Projected|Credit|FX Forward,FX Forward,
Treasury_CI|81512201,81512201,FX_MF_Value Date OffBalance Principal|Cash Analysis Projected|Debit,Treasury_CI,Treasury_CI|81512201|FX_MF_Value Date OffBalance Principal|Cash Analysis Projected|Debit|FX Forward,FX Forward,
Treasury_CI|91512201,91512201,FX_MF_Value Date OffBalance Principal|Cash Analysis Projected|Debit,Treasury_CI,Treasury_CI|91512201|FX_MF_Value Date OffBalance Principal|Cash Analysis Projected|Debit|FX Forward,FX Forward,
Treasury_CI|61512201,61512201,FX_MF_Value Date OffBalance Principal|Cash Analysis Projected|Credit,Treasury_CI,Treasury_CI|61512201|FX_MF_Value Date OffBalance Principal|Cash Analysis Projected|Credit|FX Forward,FX Forward,
Treasury_CI|71512201,71512201,FX_MF_Value Date OffBalance Principal|Cash Analysis Projected|Credit,Treasury_CI,Treasury_CI|71512201|FX_MF_Value Date OffBalance Principal|Cash Analysis Projected|Credit|FX Forward,FX Forward,
Treasury_CI|19511633,19511633,FX_MF_Value Date Principal|Cash Analysis Projected|Debit,Treasury_CI,Treasury_CI|19511633|FX_MF_Value Date Principal|Cash Analysis Projected|Debit|FX Forward,FX Forward,
Treasury_CI|19811105,19811105,FX_MF_Value Date Principal|Cash Analysis Projected|Credit,Treasury_CI,Treasury_CI|19811105|FX_MF_Value Date Principal|Cash Analysis Projected|Credit|FX Forward,FX Forward,
