PRICELINKDEFINITION,,,,,,,,,,,,,,,/PRICELINKDEFINITION
INSADDR.EXTERN_ID1,PRICE_SEMANTIC_SEQNBR.NAME,XML_DATA,FORCE_UPDATE,DISNBR.DISID,SOURCE_PTYNBR.PTYID,DONOT_RESET_FIELDS,SERVICE.LIST,IDP_CODE,STOP_TIME,UPDATE_INTERVAL,SERVICE.ENTRY,INSADDR.INSID,CURR.INSID,MULTIPLICATION_FACTOR,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,HIHKD2MD=,960,-1,IDN_SELECTFEED,HKD/HIBOR/2M,HKD,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,SHICNYOND=,960,-1,IDN_SELECTFEED,CNY/SHIBOR/ON,CNY,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,SHICNY6MD=,960,-1,IDN_SELECTFEED,CNY/SHIBOR/6M,CNY,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,SHICNY3MD=,960,-1,IDN_SELECTFEED,CNY/SHIBOR/3M,CNY,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,SHICNY1YD=,960,-1,IDN_SELECTFEED,CNY/SHIBOR/1Y,CNY,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,SHICNYSWD=,960,-1,IDN_SELECTFEED,CNY/SHIBOR/1W,CNY,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,SHICNY1MD=,960,-1,IDN_SELECTFEED,CNY/SHIBOR/1M,CNY,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,SHICNY2WD=,960,-1,IDN_SELECTFEED,CNY/SHIBOR/2W,CNY,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,CADON=,960,-1,IDN_SELECTFEED,USD-CAD/FXS/ON,CAD,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,CADSW=,960,-1,IDN_SELECTFEED,USD-CAD/FXS/1W,CAD,1,
