TREATMENTLINK,,,,/TREATMENTLINK
BOOK.NAME,TREATMENT.NAME,ACCOUNTING_INSTRUCTION.NAME,ID,
Treasury_HK,Bond FVTPL,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY,Treasury_HK|Bond FVTPL|PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY,
Treasury_HK,Bond FVTPL,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI),Treasury_HK|Bond FVTPL|PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI),
Treasury_HK,Bond FVOCI,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI),Treasury_HK|Bond FVOCI|PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI),
Treasury_HK,Bond FVOCI,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY,Treasury_HK|Bond FVOCI|PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY,
Treasury_HK,Bond Amortised Cost,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI),Treasury_HK|Bond Amortised Cost|PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI),
Treasury_HK,Bond Amortised Cost,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY,Treasury_HK|Bond Amortised Cost|PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY,
Treasury_HK,Bond Amortised Cost,Bond_MF_Daily Interest Accrual PL,Treasury_HK|Bond Amortised Cost|Bond_MF_Daily Interest Accrual PL,
Treasury_HK,Bond FVOCI,Bond_MF_Daily Interest Accrual PL,Treasury_HK|Bond FVOCI|Bond_MF_Daily Interest Accrual PL,
Treasury_HK,Borrowing,DepoLoan_MF_Trade Date Principal,Treasury_HK|Borrowing|DepoLoan_MF_Trade Date Principal,
Treasury_HK,Bond Issuance,Bond_MF_Daily Interest Accrual PL,Treasury_HK|Bond Issuance|Bond_MF_Daily Interest Accrual PL,
Treasury_HK,Bond Issuance,Bond_MF_Daily Interest Accrual PL_FCY (NI),Treasury_HK|Bond Issuance|Bond_MF_Daily Interest Accrual PL_FCY (NI),
Treasury_HK,Bond Issuance,Bond_MF_Daily Interest Accrual PL_FCY_ACCY,Treasury_HK|Bond Issuance|Bond_MF_Daily Interest Accrual PL_FCY_ACCY,
Treasury_HK,Bond Issuance,Bond_MF_Pay Date Settlement Principal,Treasury_HK|Bond Issuance|Bond_MF_Pay Date Settlement Principal,
Treasury_HK,Bond Issuance,Bond_MF_Pay Date Interest,Treasury_HK|Bond Issuance|Bond_MF_Pay Date Interest,
Treasury_HK,Bond Issuance,Bond_MF_Value Date Settlement,Treasury_HK|Bond Issuance|Bond_MF_Value Date Settlement,
Treasury_HK,Bond Issuance,Bond_TD_Daily Interest Accrual,Treasury_HK|Bond Issuance|Bond_TD_Daily Interest Accrual,
Treasury_HK,Bond Issuance,Bond_TD_Daily Interest Accrual_FCY_ACCY,Treasury_HK|Bond Issuance|Bond_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_HK,Bond Issuance,Bond_TD_Daily Interest Accrual_FCY (NI),Treasury_HK|Bond Issuance|Bond_TD_Daily Interest Accrual_FCY (NI),
Treasury_HK,Bond Issuance,Bond_TD_Daily Premium/Discount Amortization,Treasury_HK|Bond Issuance|Bond_TD_Daily Premium/Discount Amortization,
Treasury_HK,Bond Issuance,Bond_TD_Daily Premium/Discount Amortization_FCY (NI),Treasury_HK|Bond Issuance|Bond_TD_Daily Premium/Discount Amortization_FCY (NI),
Treasury_HK,Bond Issuance,Bond_TD_Daily Premium/Discount Amortization_FCY_ACCY,Treasury_HK|Bond Issuance|Bond_TD_Daily Premium/Discount Amortization_FCY_ACCY,
Treasury_HK,Bond Issuance,PSAK_MF_Pay Date Non-Attributable Fee (As Fee),Treasury_HK|Bond Issuance|PSAK_MF_Pay Date Non-Attributable Fee (As Fee),
Treasury_HK,Bond Issuance,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI),Treasury_HK|Bond Issuance|PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI),
Treasury_HK,Bond Issuance,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY,Treasury_HK|Bond Issuance|PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY,
Treasury_HK,Bond Issuance,PSAK_MF_Pay Date Attributable Fee,Treasury_HK|Bond Issuance|PSAK_MF_Pay Date Attributable Fee,
Treasury_HK,Bond Issuance,PSAK_MF_Pay Date Non-Attributable Fee (Linear),Treasury_HK|Bond Issuance|PSAK_MF_Pay Date Non-Attributable Fee (Linear),
Treasury_HK,CCS IRS,CCS/IRS_Leg_Daily Interest Accrued_Pay,Treasury_HK|CCS IRS|CCS/IRS_Leg_Daily Interest Accrued_Pay,
Treasury_HK,CCS IRS,CCS/IRS_Leg_Daily Interest Accrued_Rec,Treasury_HK|CCS IRS|CCS/IRS_Leg_Daily Interest Accrued_Rec,
Treasury_HK,CCS IRS,CCS/IRS_Leg_Trade Date Commitment,Treasury_HK|CCS IRS|CCS/IRS_Leg_Trade Date Commitment,
Treasury_HK,CCS IRS,CCS/IRS_Leg Maturity Date Commitment,Treasury_HK|CCS IRS|CCS/IRS_Leg Maturity Date Commitment,
Treasury_HK,CCS IRS,CCS/IRS_Leg Closing Date Commitment,Treasury_HK|CCS IRS|CCS/IRS_Leg Closing Date Commitment,
