TACCOUNT,,,,,,,,/TACCOUNT
DESCRIPTION,CATEGORY_CHLNBR.LIST,ACTIVE,NUMBER,NAME,REPORTING_CLASS,CATEGORY_CHLNBR.ENTRY,TYPE,
PENDAPATAN BUNGA EFEK-EFEK DIMILIKI HINGGA JATUH TEMPO SURAT BERHARGA PASAR MODAL (SBPM) - OBLIGASI,TAccount Category,Yes,41032301,PEND BNG EFEK2 DHGJT SBPM OBLIGASI,TAccount,Revenue Sheet,Revenue,
PENDAPATAN BUNGA EFEK-EFEK TERSEDIA UNTUK DIJUAL SERTIFIKAT BANK INONESIA (SBI),TAccount Category,Yes,41033101,PEND BNG EFEK2 TSD U/DJL SBI,TAccount,Revenue Sheet,Revenue,
PENDAPATAN BUNGA EFEK-EFEK TERSEDIA UNTUK DIJUAL SURAT BERHARGA PASAR UANG (SBPU) - SURAT BERHARGA KOMERSIAL,TAccount Category,Yes,41033209,PEND BNG EFEK2 TSD U/DJL SBPU SB KMRSL,TAccount,Revenue Sheet,Revenue,
PENDAPATAN BUNGA EFEK-EFEK TERSEDIA UNTUK DIJUAL SURAT BERHARGA PASAR UANG (SBPU) SURAT PERBENDAHARAAN NEGARA (SPN),TAccount Category,Yes,41033210,PEND BUNGA EFEK2 TSD U/ DJL SBPU SPN,TAccount,Revenue Sheet,Revenue,
PENDAPATAN BUNGA EFEK-EFEK TERSEDIA UNTUK DIJUAL SURAT BERHARGA PASAR MODAL (SBPM) -OBLIGASI,TAccount Category,Yes,41033301,PEND BNG EFEK2 TSD U/DJL SBPM OBLIGASI,TAccount,Revenue Sheet,Revenue,
PENDAPATAN BUNGA EFEK-EFEK TERSEDIA UNTUK DIJUAL PRODUK TREASURY,TAccount Category,Yes,41033401,PEND BNG EFEK2 TSD U/DJL PRD TREASURY,TAccount,Revenue Sheet,Revenue,
PENDAPATAN BUNGA EFEK-EFEK  REVERSE REPO PRODUK TREASURY,TAccount Category,Yes,41041103,PEND.BNG.EFEK2 REV.REPO PRODUK TREASURY,TAccount,Revenue Sheet,Revenue,
PENDAPATAN BUNGA  OBLIGASI PEMERINTAH DIMILIKI HINGGA JATUH TEMPO,TAccount Category,Yes,41062101,PEND BNG OBL PEMERINTAH DHGJT,TAccount,Revenue Sheet,Revenue,
PENDAPATAN BUNGA  OBLIGASI PEMERINTAH TERSEDIA UNTUK DIJUAL,TAccount Category,Yes,41063101,PEND BNG OBL PEMERINTAH TERSEDIA U/DJL,TAccount,Revenue Sheet,Revenue,
PENDAPATAN BUNGA LIABILITAS EFEK2 REPO RATE NEGATIF,TAccount Category,Yes,41099014,PENDAPATAN BUNGA LIABEFEK2 REPO REPO NEG,TAccount,Revenue Sheet,Revenue,
PENDAPATAN OPERASIONAL LAINNYA (POL) LABA RUGI KURS FOREIGN EXCHANGE (FX) DEVISA UMUM (DU) TRANSAKSI,TAccount Category,Yes,44011101,POL LABA RUGI KURS FX DU TRANSAKSI,TAccount,Revenue Sheet,Revenue,
PENDAPATAN OPERASIONAL LAINNYA (POL) KEUNTUNGAN TRANSAKSI DERIVATIF NILAI WAJAR KURS,TAccount Category,Yes,44511101,POL KEUNTUNGAN TRN DER NILAI WJR KURS,TAccount,Revenue Sheet,Revenue,
PENDAPATAN OPERASIONAL LAINNYA (POL) KEUNTUNGAN TRANSAKSI DERIVATIF NILAI WAJAR SUKU BUNGA,TAccount Category,Yes,44511102,POL KEUNTUNGAN TRN DER NILAI WJR SK BNG,TAccount,Revenue Sheet,Revenue,
PENDAPATAN OPERASIONAL LAINNYA (POL)  EFEK-EFEK DIPERDAGANGKAN SERTIFIKAT BANK INDONESIA (SBI),TAccount Category,Yes,45011101,POL EFEK2 DIPERDAGANGKAN SBI,TAccount,Revenue Sheet,Revenue,
POL EFEK2 DIPERDAGANGKAN SBPU REKSADANA,TAccount Category,Yes,45012601,POL EFEK2 DIPERDAGANGKAN SBPU REKSADANA,TAccount,Revenue Sheet,Revenue,
POL EFEK2 DIPERDAGANGKAN SBPU SUKUK BANK INDONESIA (SUKBI),TAccount Category,Yes,45012701,POL EFEK2 DIPERDAGANGKAN SBPU SUKUK BANK,TAccount,Revenue Sheet,Revenue,
PENDAPATAN OPERASIONAL LAINNYA (POL) EFEK-EFEK DIPERDAGANGKAN SURAT BERHARGA PASAR UANG (SBPU) -  SURAT BERHARGA KOMERSIAL,TAccount Category,Yes,45012801,POL EFEK2 DPDG SBPU SRT BHRG KMRSL,TAccount,Revenue Sheet,Revenue,
PENDAPATAN OPERASIONAL LAINNYA (POL) EFEK-EFEK DIPERDAGANGKAN SURAT BERHARGA PASAR MODAL (SBPM) - OBLIGASI,TAccount Category,Yes,45013101,POL EFEK2 DIPERDAGANGKAN SBPM OBLIGASI,TAccount,Revenue Sheet,Revenue,
