TACCOUNT,,,,,,,,/TACCOUNT
DESCRIPTION,CATEGORY_CHLNBR.LIST,ACTIVE,NUMBER,NAME,REPORTING_CLASS,CATEGORY_CHLNBR.ENTRY,TYPE,
EFEK2 DHGJT SBPU PROMES/AKSEP NONDISK,TAccount Category,Yes,13022502,EFEK2 DHGJT SBPU PROMES/AKSEP NONDISK,TAccount,Balance Sheet,Asset,
ALL ASET YANG DIAGUNKAN,TAccount Category,Yes,19511966,ALL ASET YANG DIAGUNKAN,TAccount,Balance Sheet,Asset,
PENDAPATAN BUNGA ASET YANG DIAGUNKAN,TAccount Category,Yes,41099012,PENDAPATAN BUNGA ASET YANG DIAGUNKAN,TAccount,Revenue Sheet,Revenue,
PYMAD BUNGA TAG LAIN ASET YANG DIAGUNKAN,TAccount Category,Yes,16581113,PYMAD BUNGA TAG LAIN ASET YANG DIAGUNKAN,TAccount,Balance Sheet,Asset,
LIABILITAS LAIN-LAIN (LLL) PENDAPATAN DITERIMA DIMUKA,TAccount Category,Yes,27551101,LIABILITAS LAIN-LAIN (LLL) PENDAPATAN DITERIMA DIMUKA,TAccount,Balance Sheet,Liability,
PAJAK YANG MASIH HARUS DIBAYAR (PYMHD)-PPH FINAL BUNGA SIMPANAN,TAccount Category,Yes,21011206,PAJAK YANG MASIH HARUS DIBAYAR (PYMHD)-PPH FINAL BUNGA SIMPANAN,TAccount,Balance Sheet,Liability,
KEWAJIBAN DERIVATIF TERKAIT DENGAN SUKU BUNGA (TDSB) FORWARD TRADING,TAccount Category,Yes,23022901,KEWAJIBAN DERIVATIF TERKAIT DENGAN SUKU BUNGA (TDSB) FORWARD TRADING,TAccount,Balance Sheet,Liability,
Titipan Pajak Bilateral Loan,,Yes,21011102_TaxBilateralLoan,21011102_TaxBilateralLoan,TAccount,,Liability,
Titipan Pajak Derivative,,Yes,21011110_TaxDerivative,21011110_TaxDerivative,TAccount,,Liability,
Titipan Pajak Fixed Income Domestic,,Yes,21011110_TaxFIDomestic,21011110_TaxFIDomestic,TAccount,,Liability,
Titipan Pajak Fixed Income Foreign,,Yes,21011102_TaxFIForeign,21011102_TaxFIForeign,TAccount,,Liability,
LIABILITAS EFEK-EFEK REPO - LENDING FACILITY,,Yes,22511106,LIABILITAS EFEK-EFEK REPO - LENDING FACILITY,TAccount,,Liability,
BEBAN BUNGA LIABILITAS EFEK-EFEK REPO - LENDING FACILITY,,Yes,51031301,BEBAN BUNGA LIABILITAS EFEK-EFEK REPO - LENDING FACILITY,TAccount,,Expense,
POL KEUNTUNGAN TRANSAKSI DERIVATIF NILAI WAJAR KURS,,Yes,POL KEUNTUNGAN TRANSAKSI DERIVATIF NILAI WAJAR KURS,POL KEUNTUNGAN TRANSAKSI DERIVATIF NILAI WAJAR KURS,TAccount,,Revenue,
InterOffice GL,,Yes,InterOffice GL,InterOffice GL,TAccount,,,
NOSTRO,TAccount Category,Yes,11020100,NOSTRO,TAccount,Balance Sheet,Asset,
NOSTRO 123,TAccount Category,Yes,11020100 123,NOSTRO 123,TAccount,Balance Sheet,Asset,
EFEK-EFEK DIPERDAGANGKAN SEKURITAS RUPIAH BANK INDONESIA,TAccount Category,Yes,13015101,EFEK-EFEK DIPERDAGANGKAN SEKURITAS RUPIAH BANK INDONESIA,TAccount,Balance Sheet,Asset,
EFEK-EFEK DIPERDAGANGKAN SEKURITAS VALAS BANK INDONESIA,TAccount Category,Yes,13016101,EFEK-EFEK DIPERDAGANGKAN SEKURITAS VALAS BANK INDONESIA,TAccount,Balance Sheet,Asset,
POL EFEK2 DIPERDAGANGKAN SEKURITAS RUPIAH BANK INDONESIA,TAccount Category,Yes,45015101,POL EFEK2 DIPERDAGANGKAN SEKURITAS RUPIAH BANK INDONESIA,TAccount,Revenue Sheet,Revenue,
POL EFEK2 DIPERDAGANGKAN SEKURITAS VALAS BANK INDONESIA,TAccount Category,Yes,45016101,POL EFEK2 DIPERDAGANGKAN SEKURITAS VALAS BANK INDONESIA,TAccount,Revenue Sheet,Revenue,
ALL AKUN SUSPEND FORCE BALANCE,TAccount Category,Yes,19511501,ALL AKUN SUSPEND FORCE BALANCE,Suspense,Balance Sheet,Asset,
NOS_12011101_SGD,TAccount Category,Yes,12011101_SGD,NOS_12011101_SGD,TAccount,Balance Sheet,Asset,
NOS_12011101_USD,TAccount Category,Yes,12011101_USD,NOS_12011101_USD,TAccount,Balance Sheet,Asset,
NOS_12011101_EUR,TAccount Category,Yes,12011101_EUR,NOS_12011101_EUR,TAccount,Balance Sheet,Asset,
