CHOICELIST,,,,/CHOICELIST
EmasProdCode,420,MTBINVRK,MTB INVESTOR RK,
EmasProdCode,421,MTBINVZERO,MTB INVESTOR RK ZERO,
EmasProdCode,422,MULTIGUNAA,MULTIGUNAA,
EmasProdCode,423,MULTIGUNAD,MULTIGUNAD,
EmasProdCode,424,MULTIGUNAF,MULTIGUNAF,
EmasProdCode,425,MULTIGUNKA,MULTIGUNKA,
EmasProdCode,426,MULTIGUNKD,MULTIGUNKD,
EmasProdCode,427,MULTIGUNKF,MULTIGUNKF,
EmasProdCode,428,MULTIKOPAA,MULTIKOPAA,
EmasProdCode,429,MVPAC,MVPAC,
EmasProdCode,430,MVPAM,MVPAM,
EmasProdCode,431,P-KMKM-AN,P-KMKM-AN,
EmasProdCode,432,P-KMKM-DL,P-KMKM-DL,
EmasProdCode,433,P-KMKM-FL,P-KMKM-FL,
EmasProdCode,434,P-KOP-AN,P-KOP-AN,
EmasProdCode,435,P-KOP-DL,P-KOP-DL,
EmasProdCode,436,P-KOP-FL,P-KOP-FL,
EmasProdCode,437,P-KOPNUS-A,P-KOPNUS-A,
EmasProdCode,438,P14,M-UMUM,
EmasProdCode,439,PERTAMINA,PERTAMINA PREPAID,
EmasProdCode,440,PIRKEBUN,PIRKEBUN,
