VOLATILITY,,,,,,,,,,,,,,,,,,,,,,,VOLPOINT,,/VOLPOINT,/VOLATILITY
BOND_VOL_TYPE,CALIBRATION_BOUND_FUNCTION,CALIBRATION_FILTER_FUNCTION,CAP_FLOOR_FORWARD_VOL,CURR.INSID,DATA,DISPLACED_BLACK_SCHOLES_SHIFT,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_DATE_METHOD,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,INTERPOLATION_ORDER,RISK_TYPE,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,INSADDR.INSID,VOLATILITY,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/4Y/ATM,0.209127533872,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/5Y/-0.25,0.211975858301,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/5Y/-0.50,0.203794192008,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/5Y/-1.00,0.209916394024,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/5Y/-1.25,0.224377319235,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/5Y/-1.50,0.248931694419,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/5Y/0.00,0.218263977572,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/5Y/0.25,0.229997105185,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/5Y/0.50,0.23944383682,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/5Y/1.00,0.258304917212,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/5Y/10.00,0.404478880559,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/5Y/2.00,0.287219018595,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/5Y/3.00,0.311288864293,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/5Y/5.00,0.345867014903,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/5Y/ATM,0.216151785663,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/6Y/-0.25,0.213701841031,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/6Y/-0.50,0.213663599913,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/6Y/-1.00,0.22758850019,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/6Y/-1.25,0.247033259287,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/6Y/-1.50,0.269371342611,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/6Y/0.00,0.217816037664,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/6Y/0.25,0.22101255526,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/6Y/0.50,0.229376933184,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/6Y/1.00,0.238960334007,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/6Y/10.00,0.384654458816,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/6Y/2.00,0.262712112231,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/6Y/3.00,0.276999618912,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/6Y/5.00,0.312471424504,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/6Y/ATM,0.216262875379,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/7Y/-0.25,0.212821038729,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/7Y/-0.50,0.213859159631,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/7Y/-1.00,0.238023815241,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/7Y/-1.25,0.253247818839,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/7Y/-1.50,0.274704813562,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/7Y/0.00,0.210525745317,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/7Y/0.25,0.211799141192,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/7Y/0.50,0.21304518027,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/7Y/1.00,0.219417995266,,
