VOLATILITY,,,,,,,,,,,,,,,,,,,,VOLPOINT,,,/VOLPOINT,/VOLATILITY
BOND_VOL_TYPE,CALIBRATION_BOUND_FUNCTION,CALIBRATION_FILTER_FUNCTION,CURR.INSID,DATA,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,KAPPA,RISK_TYPE,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,DISPLACED_BLACK_SCHOLES_SHIFT,INSADDR.INSID,VOLATILITY,,
,,,,,,,,,,,,,,,,,,,,0.0156,EUR/R/IRS/EU6M/DISP-BVOL/30Y/7Y/ATM,0.244,,
,,,,,,,,,,,,,,,,,,,,0.0154,EUR/R/IRS/EU6M/DISP-BVOL/30Y/8Y/ATM,0.245,,
,,,,,,,,,,,,,,,,,,,,0.0152,EUR/R/IRS/EU6M/DISP-BVOL/30Y/9Y/ATM,0.248,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/3M/10Y/ATM,0.268,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/3M/15Y/ATM,0.265,,
,,,,,,,,,,,,,,,,,,,,0.03,EUR/R/IRS/EU3M/DISP-BVOL/3M/1Y/ATM,0.068,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/3M/20Y/ATM,0.271,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/3M/25Y/ATM,0.275,,
,,,,,,,,,,,,,,,,,,,,0.0265,EUR/R/IRS/EU6M/DISP-BVOL/3M/2Y/ATM,0.086,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/3M/30Y/ATM,0.282,,
,,,,,,,,,,,,,,,,,,,,0.023,EUR/R/IRS/EU6M/DISP-BVOL/3M/3Y/ATM,0.122,,
,,,,,,,,,,,,,,,,,,,,0.0195,EUR/R/IRS/EU6M/DISP-BVOL/3M/4Y/ATM,0.169,,
