ACCINSTRUCTIONMAPPING,,,,,,,,/ACCINSTRUCTIONMAPPING
TREATMENT_LINK.ID,ID,QUERY_SEQNBR.NAME,NEXT_ID,QUERY_SEQNBR.TYPE,BOOK_LINK.ID,PREVIOUS_ID,TYPE,
Treasury_SH_ACU|Placement|DepoLoan_TD_Daily Interest Accrual_FCY_ACCY,a6ad4c23-ee0c-447f-b542-9722d3cdbd8c,A_AI_TD_NotAccountingCCY,5e2e37a0-db84-42e4-833e-8b0214da53dc,FASQL Query,Treasury_SH_ACU|Placement,aba9f3cb-01e3-4a6f-9135-9d9ef8dbe5e3,Trade,
Treasury_SH_ACU|Placement|DepoLoan_MF_Pay Date Interest PL_FCY_ACCY,cd2591fb-8021-4fe0-a4c1-7fbcb7258da7,A_AI_MF_Interest_NotAccountingCCY,6adb9b16-ae75-493b-8036-9588b3b21600,FASQL Query,Treasury_SH_ACU|Placement,0f2d67b0-79c9-470f-bff6-b0ed6ff6fc91,Money Flow,
Treasury_SH_ACU|Settlement|Value Day (Real-Time),251fdda8-6ec4-4be0-afb2-dc6956057402,A_AI_Sett_Network_EMAS,076c820e-2026-4094-808d-b7e92973ac63,FASQL Query,Treasury_SH_ACU|Settlement,,Settlement,
Treasury_SH_ACU|Settlement|Value Day (EOD),076c820e-2026-4094-808d-b7e92973ac63,A_AI_Sett_Network_Not_EMAS,,FASQL Query,Treasury_SH_ACU|Settlement,251fdda8-6ec4-4be0-afb2-dc6956057402,Settlement,
Treasury_SH_ACU|Borrowing|DepoLoan_TD_Daily Interest Accrual_FCY_ACCY,3415a70e-66f3-441a-bbab-f306574fe094,A_AI_TD_NotAccountingCCY,d60a1ff6-dc56-40bc-9e13-50086da401da,FASQL Query,Treasury_SH_ACU|Borrowing,c6b2cd21-748e-4aaa-b62b-91db99a25c8a,Trade,
Treasury_SH_ACU|Borrowing|DepoLoan_MF_Pay Date Interest PL_FCY_ACCY,99e5d370-9b03-4c85-82a6-a46e0fda8cf7,A_AI_MF_Interest_NotAccountingCCY,6040949d-c13f-4755-80d0-45415bf2b76c,FASQL Query,Treasury_SH_ACU|Borrowing,624566f0-cb8a-4e23-a1c5-2a3903ccc144,Money Flow,
Treasury_SH_ACU|Placement|DepoLoan_MF_Pay Date Interest PL_FCY (NI),6adb9b16-ae75-493b-8036-9588b3b21600,A_AI_MF_Interest_NotAccountingCCY,8ad88283-b25f-43c7-8952-8f68cb80f955,FASQL Query,Treasury_SH_ACU|Placement,cd2591fb-8021-4fe0-a4c1-7fbcb7258da7,Money Flow,
Treasury_SH_ACU|Placement|DepoLoan_TD_Daily Interest Accrual_FCY (NI),5e2e37a0-db84-42e4-833e-8b0214da53dc,A_AI_TD_NotAccountingCCY,8e18b191-18fd-45fc-8f79-5c01fab99112,FASQL Query,Treasury_SH_ACU|Placement,a6ad4c23-ee0c-447f-b542-9722d3cdbd8c,Trade,
Treasury_SH_ACU|Placement|PSAK_MF_Pay Date Attributable Fee,8ad88283-b25f-43c7-8952-8f68cb80f955,A_AI_MF_Attributable Fee_Cost,04924e88-f21b-41cf-8b83-b704df32a518,FASQL Query,Treasury_SH_ACU|Placement,6adb9b16-ae75-493b-8036-9588b3b21600,Money Flow,
Treasury_SH_ACU|Borrowing|DepoLoan_TD_Daily Interest Accrual_FCY (NI),d60a1ff6-dc56-40bc-9e13-50086da401da,A_AI_TD_NotAccountingCCY,d5f4df1f-476c-478c-affc-bc1ad868bf4b,FASQL Query,Treasury_SH_ACU|Borrowing,3415a70e-66f3-441a-bbab-f306574fe094,Trade,
Treasury_SH_ACU|Borrowing|PSAK_MF_Pay Date Attributable Fee,6040949d-c13f-4755-80d0-45415bf2b76c,A_AI_MF_Attributable Fee_Cost,9951ebd6-f98d-492b-ad15-8faf39fb6cec,FASQL Query,Treasury_SH_ACU|Borrowing,99e5d370-9b03-4c85-82a6-a46e0fda8cf7,Money Flow,
Treasury_SH_ACU|Borrowing|DepoLoan_MF_Pay Date Interest PL_FCY (NI),9951ebd6-f98d-492b-ad15-8faf39fb6cec,A_AI_MF_Interest_NotAccountingCCY,f24f4768-4641-40b9-af81-aaee410e8695,FASQL Query,Treasury_SH_ACU|Borrowing,6040949d-c13f-4755-80d0-45415bf2b76c,Money Flow,
Treasury_SH_ACU|FX Forward|FX_TD_Daily Mark-to-Market,1515b29b-e0e5-4deb-a03a-c94291073435,A_AI_TD_All,,FASQL Query,Treasury_SH_ACU|FX Forward,,Trade,
Treasury_SH_ACU|FX Forward|FX_MF_Trade Date OffBalance Principal,5b7ebee2-6faa-44f7-afc9-3fdc0caaad3f,A_AI_MF_PremiumPremium2,39332a9a-84ac-4f59-a8ee-e5101973c1b9,FASQL Query,Treasury_SH_ACU|FX Forward,,Money Flow,
Treasury_SH_ACU|FX Forward|FX_MF_Value Date OffBalance Principal,39332a9a-84ac-4f59-a8ee-e5101973c1b9,A_AI_MF_PremiumPremium2,a9c8426c-a98d-45c6-8151-af815c8cc02a,FASQL Query,Treasury_SH_ACU|FX Forward,5b7ebee2-6faa-44f7-afc9-3fdc0caaad3f,Money Flow,
Treasury_SH_ACU|FX Forward|FX_MF_Value Date Principal,a9c8426c-a98d-45c6-8151-af815c8cc02a,A_AI_MF_PremiumPremium2,0b31dc5a-02e1-4126-9349-95721b067523,FASQL Query,Treasury_SH_ACU|FX Forward,39332a9a-84ac-4f59-a8ee-e5101973c1b9,Money Flow,
Treasury_SH_ACU|FX Swap|FX_TD_Daily Mark-to-Market,d777aee0-9e7e-49b0-ba17-f636dd171059,A_AI_TD_All,,FASQL Query,Treasury_SH_ACU|FX Swap,,Trade,
Treasury_SH_ACU|FX Swap|FX_MF_Trade Date OffBalance Principal,8637c18a-8ca6-4068-92df-a6ef52f8ef9c,A_AI_MF_PremiumPremium2,638dd762-e375-418f-add0-5d6a90744e89,FASQL Query,Treasury_SH_ACU|FX Swap,,Money Flow,
Treasury_SH_ACU|FX Swap|FX_MF_Value Date OffBalance Principal,638dd762-e375-418f-add0-5d6a90744e89,A_AI_MF_PremiumPremium2,dae9779f-5328-4954-9ab2-f0b1babd2393,FASQL Query,Treasury_SH_ACU|FX Swap,8637c18a-8ca6-4068-92df-a6ef52f8ef9c,Money Flow,
