TREATMENTLINK,,,,/TREATMENTLINK
BOOK.NAME,TREATMENT.NAME,ACCOUNTING_INSTRUCTION.NAME,ID,
Treasury_SH_ACU,Placement(Discounted),DepoLoan Discounted_MF_Trade Date Principal,Treasury_SH_ACU|Placement(Discounted)|DepoLoan Discounted_MF_Trade Date Principal,
Treasury_SH_ACU,Placement(Discounted),DepoLoan Discounted_MF_Value Date Principal,Treasury_SH_ACU|Placement(Discounted)|DepoLoan Discounted_MF_Value Date Principal,
Treasury_SH_ACU,Bond FVTPL,Bond_MF_Value Date Settlement,Treasury_SH_ACU|Bond FVTPL|Bond_MF_Value Date Settlement,
Treasury_SH_ACU,Bond FVTPL,Bond_TD_Daily Interest Accrual_FCY_ACCY,Treasury_SH_ACU|Bond FVTPL|Bond_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_SH_ACU,Bond FVTPL,Bond_TD_Daily Interest Accrual_FCY (NI),Treasury_SH_ACU|Bond FVTPL|Bond_TD_Daily Interest Accrual_FCY (NI),
Treasury_SH_ACU,Bond FVTPL,Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY (NI),Treasury_SH_ACU|Bond FVTPL|Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY (NI),
Treasury_SH_ACU,Bond FVTPL,Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY_ACCY,Treasury_SH_ACU|Bond FVTPL|Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY_ACCY,
Treasury_SH_ACU,Bond FVTPL,Bond_MF_Daily Interest Accrual PL_FCY (NI),Treasury_SH_ACU|Bond FVTPL|Bond_MF_Daily Interest Accrual PL_FCY (NI),
Treasury_SH_ACU,Bond FVTPL,Bond_MF_Daily Interest Accrual PL_FCY_ACCY,Treasury_SH_ACU|Bond FVTPL|Bond_MF_Daily Interest Accrual PL_FCY_ACCY,
Treasury_SH_ACU,Bond FVTPL,Bond_TD_Trade Date Sell RPL_FCY (NI),Treasury_SH_ACU|Bond FVTPL|Bond_TD_Trade Date Sell RPL_FCY (NI),
Treasury_SH_ACU,Bond FVTPL,Bond_TD_Trade Date Sell RPL_FCY_ACCY,Treasury_SH_ACU|Bond FVTPL|Bond_TD_Trade Date Sell RPL_FCY_ACCY,
Treasury_SH_ACU,Bond FVTPL,PSAK_MF_Pay Date Non-Attributable Fee (As Fee),Treasury_SH_ACU|Bond FVTPL|PSAK_MF_Pay Date Non-Attributable Fee (As Fee),
