CHOICELIST,,,/CHOICELIST
Branch,010679-KCP MEDAN MARINDAL,KCPMDNMARI,
Branch,010680-KCP DOLOK MASIHUL,KCPDOLOKMA,
Branch,010681-KCP MEDAN TITI PAPAN,KCPMDNTITI,
Branch,010682-KCP MEDAN KAMPUNG LALANG,KCPMDNKMPL,
Branch,010683-KCP MEDAN PASAR HELVETIA,KCPMDNPSRH,
Branch,010684-KCP BINJAI TANDEM HILIR,KCPBINJ,
Branch,010685-KCP MEDAN SIMPANG LIMUN,KCPSPLIMUN,
Branch,010686-KCP DELI SERDANG PERTUMBUKAN,KCPSERDANG,
Branch,010687-KCP BAHOROK,KCPBAHOROK,
Branch,010688-KCP MEDAN SECANGGANG,KCPSECANG,
Branch,010689-KCP LANGKAT BATANG SERANGAN,KCPLANGKAT,
Branch,010700-KC PEMANTANGSIANTAR SUDIRMAN,PMSSUDIRMA,
Branch,010701-KCP PEMANTANGSIANTAR SUTOMO,PMSSUTOMO,
Branch,010702-KC PADANG SIDEMPUAN,PDGSIDEMPU,
Branch,010703-KC SIBOLGA,SBGIDR,
Branch,010704-KC RANTAU PRAPAT AHMAD YANI,RAPAHMADYA,
Branch,010705-KCP RANTAU PRAPAT M. LUBIS,RAPMLUBIS,
Branch,010706-KC KISARAN,KISIDR,
Branch,010707-KK BAH JAMBI,JBIBAHJAMB,
Branch,010708-KCP PEMATANGSIANTAR MEGA LAND,PMTSTRMGLD,
Branch,010709-KK CIKAMPAK,KKCIKAM,
Branch,010710-KCP DOLOK SANGGUL,KCPDOLOKSA,
Branch,010711-KK PANYABUNGAN,JMBANYAIDR,
Branch,010712-KK PERDAGANGAN,KKPERDA,
Branch,010713-KCP DOLOK SANGGUL,KCPDOLOKS3,
Branch,010714-KCP SIBUHUAN,KCPSIBUHUA,
Branch,010715-KCP NIAS GUNUNG SITOLI,KCPGUNSITO,
Branch,010716-KCP KUALA TANJUNG,KUALATANJG,
Branch,010721-KK KOTA PINANG,JMBINAIDR,
Branch,010731-KCP TANJUNG BALAI,TJBIDR,
Branch,010741-KK BALIGE,BLGIDR,
Branch,010766-KCP MEDAN SEI RAMPAH,KCPSEIRAMP,
Branch,010769-KCP MEDAN SEI RAMPAH,KCPSEIRAM9,
Branch,010770-KCP SIDIKALANG,KCPSIDIKAL,
Branch,010772-KCP PORSEA,KCPPORSEA,
Branch,010773-KCP SIPIROK,KCPSIPIROK,
Branch,010774-KCP PEMATANGSIANTAR PARLUASAN,KCPARLUASA,
Branch,010775-KCP PEMATANGSIANTAR SERBELAWAN,KCPPMTNGSE,
Branch,010776-KCP PEMATANGSIANTAR PERDAGANGAN,KCPPMTGPDG,
Branch,010777-KCP PEMATANGSIANTAR SIBORONG-BOR,KCPPMTGSBR,
Branch,010778-KCP PEMATANGSIANTAR LIMA PULUH,KCPPMTG50,
Branch,010779-KCP AEK NABARA,KCPAEKNABR,
Branch,010780-KCP LABUHAN BATU KAMPUNG PAJAK,KCPLBHNBTK,
Branch,010781-KCP SIMALUNGUN SIDAMANIK,KCPSMLGSDM,
Branch,010782-KCP TARUTUNG,KCPTARTUNG,
Branch,010783-KCP LABUHAN BATU NEGERI LAMA,KCPLABU,
Branch,010784-KCP ASAHAN SUNGAI PIRING,KCPASAH,
Branch,010785-KCP KOTA PINANG SIDODADI,KCPKOTPINA,
Branch,010786-KCP SARIBUDOLOK,KCPSARI,
Branch,010787-KCP SIMALUNGUN TANAH JAWA,KCPSIMA,
